player_name,team,league,age,position,appearances,starts,minutes,goals,assists,shots_total,shots_on,passes_total,passes_key,pass_accuracy,tackles,interceptions,blocks,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,yellow_cards,red_cards,player_id,rating,duels_won_pct,xg_proxy,performance_score,fatigue_index,defensive_impact,anomaly_z,is_anomaly
Wilfried Singo,Torino,Serie A,22,Defender,16,11,1071,0,0.08,1.18,0.25,39.2,0.92,74.9,1.26,0.5,0.76,1.85,0.84,1.51,1.85,0.25,0.0,2283,7.368,0.4541,0.0,0.4617,0.7438,0.882,-0.0352,0
Luis Sinisterra,Leeds United,Premier League,23,Forward,12,8,537,2,0.0,2.17,0.83,30.2,0.67,82.3,2.33,1.0,0.67,4.67,2.17,1.5,1.5,0.5,0.17,2284,7.552,0.4647,0.16666666666666666,0.5341,0.4972,1.433,0.846,0
Daley Sinkgraven,Leverkusen,Bundesliga,27,Defender,7,3,258,0,0.34,1.03,0.34,36.9,1.03,74.8,1.72,1.38,1.72,1.72,1.03,1.03,1.38,0.34,0.0,2285,7.381,0.5988,0.0,0.4908,0.4095,1.618,0.319,0
Tobias Sippel,M'Gladbach,Bundesliga,34,Goalkeeper,3,3,270,0,0.0,0.0,0.0,30.3,0.0,65.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,2286,7.311,0.0,0.0,0.3503,1.0,0.0,-1.391,0
Hugo Siquet,Freiburg,Bundesliga,20,Defender,2,0,17,0,0.0,0.0,0.0,25.0,0.0,71.4,10.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,2287,7.357,0.0,0.0,0.3635,0.0944,5.5,-1.2304,0
Ibrahima Sissoko,Strasbourg,Ligue 1,25,Midfielder,12,4,486,0,0.0,1.11,0.0,31.3,0.56,76.5,1.67,0.37,1.85,1.3,0.19,1.3,2.59,0.0,0.0,2288,7.382,0.1462,0.0,0.4037,0.45,1.334,-0.7411,0
Moussa Sissoko,Nantes,Ligue 1,33,Midfielder,15,13,1147,1,0.0,0.79,0.24,27.4,0.87,77.9,1.34,0.87,0.87,1.1,0.39,0.47,1.81,0.24,0.0,2289,7.478,0.3545,0.06666666666666667,0.471,0.8496,1.058,0.078,0
Tim Skarke,Union Berlin,Bundesliga,26,Defender,3,0,53,0,0.0,6.67,3.33,36.7,1.67,61.1,1.67,0.0,1.67,3.33,1.67,0.0,5.0,1.67,0.0,2290,7.222,0.5015,0.0,0.4392,0.1963,1.169,-0.309,0
Tim Skarke,Schalke 04,Bundesliga,26,Midfielder,3,3,212,0,0.0,2.92,0.83,17.9,2.5,58.1,1.67,0.0,0.83,2.5,0.42,2.5,0.83,0.0,0.0,2291,7.29,0.168,0.0,0.3685,0.7852,0.917,-1.1695,0
Ellyes Skhiri,Köln,Bundesliga,27,Midfielder,18,18,1596,3,0.06,1.07,0.23,45.1,0.9,87.0,2.94,1.81,1.36,1.07,0.79,0.4,1.3,0.17,0.0,2292,7.731,0.7383,0.16666666666666666,0.6036,0.9852,2.127,1.6919,0
Oliver Skipp,Tottenham,Premier League,22,Midfielder,8,3,198,0,0.0,0.45,0.45,35.5,1.36,78.0,1.36,0.0,0.45,0.45,0.0,0.91,1.82,0.91,0.0,2293,7.344,0.0,0.0,0.3763,0.275,0.679,-1.0746,0
Leo Skiri Ostigard,Napoli,Serie A,23,Defender,4,2,220,0,0.0,0.83,0.0,68.3,0.0,85.0,1.25,1.25,0.0,0.0,0.0,1.67,0.83,0.42,0.0,2294,7.404,0.0,0.0,0.3921,0.6111,0.875,-0.8823,0
?ukasz Skorupski,Bologna,Serie A,31,Goalkeeper,21,21,1890,0,0.0,0.0,0.0,26.4,0.0,77.1,0.05,0.0,0.0,0.0,0.0,0.24,0.0,0.14,0.0,2295,7.379,0.0,0.0,0.3756,1.0,0.02,-1.0831,0
Robert Skov,Hoffenheim,Bundesliga,26,Defender,16,14,1051,3,0.17,2.91,0.85,34.9,1.45,70.5,1.2,0.68,1.54,1.79,0.43,1.54,1.2,0.09,0.0,2296,7.66,0.2402,0.1875,0.4751,0.7299,1.146,0.1279,0
Milan kriniar,Inter,Serie A,28,Defender,20,19,1679,0,0.0,0.43,0.11,63.0,0.27,91.2,1.55,0.59,0.91,0.16,0.16,0.75,1.76,0.27,0.05,2297,7.433,1.0,0.0,0.6054,0.9328,1.07,1.7138,0
Naatan Skytta,Toulouse,Ligue 1,20,Midfielder,2,0,23,0,0.0,3.33,0.0,23.3,0.0,63.6,0.0,3.33,0.0,0.0,0.0,3.33,0.0,0.0,0.0,2298,7.318,0.0,0.0,0.3467,0.1278,0.999,-1.4348,0
Islam Slimani,Brest,Ligue 1,34,Forward,16,11,986,1,0.09,1.27,0.18,23.7,1.18,71.1,0.45,0.09,0.18,1.09,0.27,1.27,1.64,0.45,0.0,2299,7.439,0.2477,0.0625,0.4337,0.6847,0.261,-0.376,0
Chris Smalling,Roma,Serie A,33,Defender,22,21,1953,3,0.0,0.55,0.14,35.0,0.09,86.6,0.88,1.52,1.34,0.09,0.05,0.55,0.6,0.18,0.0,2300,7.724,0.5556,0.13636363636363635,0.5569,0.9864,1.21,1.1235,0
